timestamp,close
2019-10-31,78.62
2019-09-30,79.36
2019-08-30,82.44
2019-07-31,80.16
2019-06-28,79.66
2019-05-31,74.22
2019-04-30,74.63
2019-03-29,75.1
2019-02-28,71.45
2019-01-31,68.39
2018-12-31,64.12
2018-11-30,74
2018-10-31,72.56
2018-09-28,73.72
2018-08-31,72.89
2018-07-31,69.63
2018-06-29,69.07
2018-05-31,64.03
2018-04-30,60.96
2018-03-29,59.69
2018-02-28,59.89
2018-01-31,64.65
2017-12-29,64.47
2017-11-30,59.7
2017-10-31,59.07
2017-09-29,53.08
2017-08-31,51.56
2017-07-31,53.03
2017-06-30,55.12
2017-05-31,58.51
2017-04-28,55.86
2017-03-31,54.68
2017-02-28,55.01
2017-01-31,51.87
2016-12-30,52.44
2016-11-30,54.29
2016-10-31,48.36
2016-09-30,52.08
2016-08-31,48.95
2016-07-29,45.31
2016-06-30,43.62
2016-05-31,43.29
2016-04-29,46.5
2016-03-31,47.17
2016-02-29,46.58
2016-01-29,39.36
2015-12-31,42.59
2015-11-30,42.42
2015-10-30,41.41
2015-09-30,49
2015-08-31,50.16
2015-07-31,53.89
2015-06-30,55
2015-05-29,53.36
2015-04-30,52.11
2015-03-31,47.56
2015-02-27,46.86
2015-01-30,47.31
2014-12-31,42.65
2014-11-28,48.35
2014-10-31,45.48
2014-09-30,44.82
2014-08-29,43.54
2014-07-31,42.86
2014-06-30,45.81
2014-05-30,44.76
2014-04-30,45.51
2014-03-31,50.18
2014-02-28,51.67
2014-01-31,46.53
2013-12-31,48.2
2013-11-29,48.98
2013-10-31,47.68
2013-09-30,45.26
2013-08-30,43.09
2013-07-31,43.2
2013-06-28,42.82
2013-05-31,39.6
2013-04-30,38.805
2013-03-28,36.879
2013-02-28,37.12
2013-01-31,36.51
2012-12-31,33.18
2012-11-30,31.82
2012-10-31,31
2012-09-28,29.195
2012-08-31,29.13
2012-07-31,30.28
2012-06-29,34.34
2012-05-31,32.47
2012-04-30,32.37
2012-03-30,30.08
2012-02-29,29.04
2012-01-31,27.65
2011-12-30,24.98
2011-11-30,25.3
2011-10-31,29.11
2011-09-30,27.7
2011-08-31,26.34
